model,accuracy,roc_auc,avg_precision,precision,recall,f1_score
XGBoost,0.9094893710278326,0.9286682123779619,0.6686205694299676,0.6346863468634686,0.6153846153846154,0.6248864668483197
LightGBM,0.9110234494849879,0.9270494711013494,0.6692303642736906,0.6533066132264529,0.5831842576028623,0.6162570888468809
SVM,0.8817663817663818,0.9266121847740809,0.6724298658499412,0.511854103343465,0.7531305903398927,0.6094824466159972
HistGradientBoosting,0.8990795529257067,0.9260463373835467,0.6560119585192611,0.5836873406966865,0.6144901610017889,0.5986928104575163
RandomForest,0.7773394696471619,0.8826712196569084,0.5164425585639179,0.3351370851370851,0.830948121645796,0.47763496143958867
LogisticRegression,0.7296734604426912,0.8341719773964855,0.3927496801489038,0.2826297131807928,0.7844364937388193,0.41554134091447525
AdaBoost,0.603988603988604,0.8141643687260861,0.31318026592763715,0.22486772486772486,0.9123434704830053,0.3608065086664308
